School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Holy Cross,2020-2021,16,5,11,0.313,-4.99,0.45,,5,11,,2,7,,3,4,,1130,1217,,69.9,107.9,0.352,0.331,0.558,52.9,48.6,9.8,8.3,0.526,16.2,31.4,0.252
Houston NCAA,2020-2021,32,28,4,0.875,21.66,5.37,,14,3,,15,0,,5,3,,2434,1863,,66.1,88.1,0.405,0.381,0.476,43.8,53.6,7.5,7.0,0.433,18.8,26.8,0.268
Houston Christian,2020-2021,25,6,19,0.240,-16.72,-5.72,,4,11,,4,6,,1,12,,1776,2007,,74.2,107.6,0.282,0.385,0.563,52.9,53.1,12.0,8.8,0.537,16.6,31.2,0.203
Howard,2020-2021,5,1,4,0.200,-14.26,-2.51,,,,,1,1,,,,,363,424,,73.1,116.0,0.303,0.411,0.556,52.8,62.8,11.2,9.4,0.542,10.4,30.6,0.189
Idaho,2020-2021,22,1,21,0.045,-18.32,-2.91,,1,17,,1,9,,0,11,,1343,1682,,67.4,112.2,0.358,0.367,0.578,53.4,48.6,13.1,8.6,0.543,15.0,29.7,0.267
Idaho State,2020-2021,24,13,11,0.542,-8.39,-5.71,,8,6,,8,3,,5,5,,1637,1481,,66.2,92.2,0.330,0.315,0.494,45.3,44.7,10.8,5.9,0.458,16.8,24.7,0.226
Illinois NCAA,2020-2021,31,24,7,0.774,23.25,11.34,,16,4,,11,2,,9,3,,2497,2128,,71.2,95.2,0.301,0.326,0.497,43.2,45.1,9.3,9.3,0.465,14.3,21.9,0.207
Illinois State,2020-2021,25,7,18,0.280,-5.45,0.38,,4,14,,3,8,,3,9,,1799,1870,,70.7,104.2,0.257,0.415,0.539,50.5,57.5,9.8,6.8,0.512,14.7,26.1,0.186
Illinois-Chicago,2020-2021,22,9,13,0.409,-12.06,-7.42,,6,10,,7,4,,2,9,,1489,1591,,69.6,102.7,0.339,0.267,0.514,51.6,44.5,9.1,7.3,0.480,12.4,27.3,0.233
Incarnate Word,2020-2021,22,8,14,0.364,-15.91,-8.33,,5,9,,5,7,,3,6,,1495,1578,,68.2,104.6,0.323,0.326,0.541,52.9,53.4,9.7,9.2,0.513,16.3,30.6,0.222
Indiana,2020-2021,27,12,15,0.444,12.79,12.45,,7,12,,6,6,,3,7,,1882,1873,,67.1,100.1,0.335,0.376,0.525,51.0,48.7,8.5,9.6,0.488,15.6,27.3,0.240
Indiana State,2020-2021,25,15,10,0.600,2.04,1.91,,11,7,,9,3,,5,6,,1662,1645,,66.8,98.6,0.273,0.380,0.540,51.1,54.7,7.7,7.4,0.515,19.4,26.5,0.191
Iona NCAA,2020-2021,18,12,6,0.667,-1.20,-6.42,,6,3,,4,2,,4,3,,1283,1189,,69.9,94.5,0.461,0.375,0.506,46.5,53.4,10.7,7.3,0.460,17.4,26.4,0.316
