School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
Saint Louis,33,21,12,0.636,6.04,2.85,,12,6,,15,3,,4,7,,2493,2348,,69.9,101.8,0.320,0.381,0.515,47.0,52.9,9.2,8.2,0.479,13.4,26.2,0.231,2022-2023
Saint Mary's (CA) NCAA,35,27,8,0.771,17.41,7.18,,14,2,,16,2,,6,2,,2473,2105,,63.8,93.3,0.304,0.319,0.509,44.7,37.2,7.4,10.4,0.470,17.4,21.9,0.226,2022-2023
Saint Peter's,32,14,18,0.438,-9.90,-5.25,,7,13,,8,6,,4,11,,1986,2083,,63.2,102.2,0.509,0.359,0.541,48.1,50.0,7.2,11.8,0.489,17.3,30.0,0.365,2022-2023
Sam Houston,34,26,8,0.765,7.15,1.08,,14,4,,12,1,,11,6,,2454,2015,,66.7,88.2,0.351,0.467,0.507,45.4,56.1,8.4,8.3,0.468,22.1,24.3,0.246,2022-2023
Samford,32,21,11,0.656,0.50,-4.36,,15,3,,13,3,,8,7,,2519,2290,,69.9,100.8,0.367,0.439,0.547,48.4,57.1,9.1,7.1,0.512,18.3,26.6,0.260,2022-2023
San Diego,31,11,20,0.355,-2.06,3.28,,4,12,,8,9,,3,8,,2391,2495,,70.4,113.4,0.323,0.416,0.595,51.2,60.2,7.6,7.8,0.578,16.0,29.3,0.216,2022-2023
San Diego State NCAA,39,32,7,0.821,15.81,8.92,,15,3,,15,1,,8,2,,2775,2475,,66.6,94.6,0.295,0.399,0.506,47.0,47.0,9.3,7.9,0.466,17.1,25.8,0.222,2022-2023
San Francisco,34,20,14,0.588,6.00,3.63,,7,9,,11,5,,5,6,,2591,2496,,70.4,103.5,0.374,0.348,0.546,48.7,45.0,9.4,8.4,0.499,15.9,26.9,0.287,2022-2023
San Jose State,35,21,14,0.600,5.17,4.52,,10,8,,12,3,,5,8,,2362,2318,,63.2,103.6,0.284,0.355,0.518,44.4,50.7,8.0,7.7,0.480,11.5,24.4,0.216,2022-2023
Santa Clara,33,23,10,0.697,8.55,5.05,,11,5,,14,5,,6,3,,2538,2413,,71.2,101.5,0.246,0.386,0.531,46.7,50.5,8.9,6.9,0.503,14.7,24.0,0.180,2022-2023
Seattle,32,20,12,0.625,0.91,0.67,,11,7,,12,2,,7,7,,2303,2209,,70.8,97.1,0.325,0.348,0.518,48.7,52.1,8.7,10.2,0.484,16.5,25.6,0.227,2022-2023
Seton Hall,33,17,16,0.515,11.00,8.50,,10,10,,10,6,,6,7,,2256,2149,,67.8,96.1,0.310,0.368,0.510,49.2,54.5,10.4,12.0,0.474,18.4,29.7,0.223,2022-2023
Siena,32,17,15,0.531,-3.44,-4.82,,11,9,,8,5,,7,8,,2195,2151,,66.6,99.8,0.330,0.280,0.527,48.1,43.0,11.3,8.7,0.496,16.3,26.8,0.226,2022-2023
South Alabama,35,19,16,0.543,3.58,-0.49,,9,9,,10,4,,4,10,,2483,2282,,66.7,97.4,0.278,0.286,0.496,52.3,41.0,7.9,8.1,0.462,14.3,27.7,0.199,2022-2023
South Carolina,32,11,21,0.344,-2.28,6.00,,4,14,,7,8,,4,8,,2059,2324,,65.1,109.8,0.294,0.363,0.549,50.7,54.4,11.1,10.3,0.526,13.7,32.5,0.198,2022-2023
South Carolina State,31,5,26,0.161,-16.73,-4.13,,2,12,,4,6,,1,19,,2274,2599,,73.7,112.8,0.435,0.365,0.603,51.2,58.5,10.1,10.1,0.571,18.4,33.9,0.314,2022-2023
South Carolina Upstate,32,16,16,0.500,-7.44,-3.81,,10,8,,11,2,,4,12,,2198,2225,,68.4,101.3,0.421,0.365,0.535,52.6,47.1,9.2,7.1,0.494,18.1,31.3,0.297,2022-2023
South Dakota,31,12,19,0.387,-9.87,-3.32,,7,11,,8,6,,2,11,,2149,2282,,67.0,110.0,0.304,0.399,0.554,50.5,46.9,9.4,11.0,0.523,12.9,26.8,0.222,2022-2023
South Dakota State,32,19,13,0.594,-1.82,-2.07,,13,5,,10,2,,6,9,,2270,2233,,67.9,101.9,0.229,0.409,0.536,51.2,49.4,9.2,9.1,0.507,15.5,25.3,0.174,2022-2023
South Florida,32,14,18,0.438,1.95,1.95,,7,11,,9,9,,4,7,,2303,2303,,69.6,103.1,0.371,0.386,0.538,47.6,54.9,9.8,8.1,0.498,16.3,27.8,0.271,2022-2023
Southeast Missouri State NCAA,36,19,17,0.528,-7.40,-6.81,,10,8,,9,4,,5,11,,2789,2734,,73.8,101.2,0.431,0.357,0.544,50.8,50.6,9.1,7.5,0.506,17.3,27.3,0.298,2022-2023
Southeastern Louisiana,32,18,14,0.563,-8.00,-6.73,,12,6,,10,4,,7,8,,2483,2432,,70.4,105.9,0.322,0.412,0.563,50.6,54.8,8.4,6.9,0.539,17.7,29.6,0.222,2022-2023
Southern,32,15,17,0.469,-8.57,-6.50,,11,7,,9,2,,5,12,,2300,2280,,72.9,97.0,0.420,0.415,0.546,52.3,59.7,9.0,10.9,0.509,20.9,28.1,0.292,2022-2023
Southern California NCAA,33,22,11,0.667,13.06,8.00,,14,6,,15,2,,5,5,,2391,2224,,68.3,98.3,0.302,0.371,0.492,50.4,55.8,9.9,7.8,0.454,15.2,32.7,0.216,2022-2023
Southern Illinois,33,23,10,0.697,1.15,-2.14,,14,6,,13,2,,8,6,,2168,2026,,64.8,94.4,0.295,0.344,0.502,50.6,49.1,9.7,10.3,0.477,17.5,26.9,0.192,2022-2023
SIU Edwardsville,33,19,14,0.576,-6.45,-7.52,,9,9,,9,5,,7,8,,2463,2353,,70.7,100.8,0.334,0.361,0.525,48.9,47.4,8.4,7.6,0.486,16.8,29.6,0.244,2022-2023
Southern Indiana,33,16,17,0.485,-8.87,-7.13,,9,9,,10,4,,5,11,,2500,2447,,70.5,104.0,0.384,0.400,0.544,47.4,48.5,8.7,11.6,0.505,15.7,26.3,0.276,2022-2023
Southern Methodist,32,10,22,0.313,-0.12,5.20,,5,13,,7,9,,1,11,,2248,2418,,70.6,105.4,0.328,0.371,0.548,51.8,57.3,9.8,11.9,0.518,16.3,30.5,0.232,2022-2023
Southern Mississippi,33,25,8,0.758,3.31,-1.56,,14,4,,15,0,,8,7,,2436,2182,,68.9,95.9,0.302,0.378,0.509,48.2,52.4,9.7,6.8,0.475,18.3,29.1,0.214,2022-2023
Southern Utah,37,24,13,0.649,3.39,1.42,,12,6,,13,2,,5,8,,3064,2764,,73.7,99.3,0.297,0.365,0.533,47.5,47.3,9.1,9.1,0.504,16.9,25.0,0.211,2022-2023
St. Bonaventure,32,14,18,0.438,-1.32,-0.41,,8,10,,11,4,,2,11,,2136,2165,,66.7,100.7,0.409,0.394,0.529,51.3,56.3,8.9,7.7,0.486,17.0,29.4,0.292,2022-2023
St. Francis (NY),30,14,16,0.467,-16.49,-11.17,,7,9,,10,5,,4,11,,1946,2034,,67.1,100.6,0.308,0.271,0.529,50.9,53.5,9.5,8.2,0.499,17.5,31.6,0.214,2022-2023
St. John's (NY),33,18,15,0.545,8.64,6.49,,7,13,,12,7,,3,8,,2552,2481,,73.8,100.4,0.296,0.394,0.534,47.1,57.5,11.0,6.9,0.502,17.3,27.6,0.213,2022-2023
St. Thomas,33,19,14,0.576,-3.10,-4.65,,9,9,,12,2,,4,11,,2447,2316,,67.0,104.7,0.304,0.358,0.548,51.9,46.5,6.3,11.2,0.515,15.6,28.1,0.225,2022-2023
Stanford,33,14,19,0.424,9.64,7.67,,7,13,,9,6,,2,8,,2321,2256,,66.1,103.4,0.286,0.408,0.546,47.8,51.5,9.0,8.1,0.515,16.2,26.4,0.209,2022-2023
Stephen F. Austin,32,19,13,0.594,0.73,-0.69,,11,7,,12,4,,6,5,,2427,2238,,70.9,96.8,0.410,0.371,0.538,49.2,60.1,8.5,8.3,0.501,21.8,31.0,0.285,2022-2023
Stetson,31,17,14,0.548,-2.83,-2.69,,12,6,,9,3,,7,9,,2381,2287,,65.8,109.4,0.288,0.380,0.552,48.8,51.0,7.8,7.1,0.521,13.3,27.8,0.215,2022-2023
Stonehill,31,14,17,0.452,-12.86,-8.59,,10,6,,7,4,,6,12,,2076,2157,,67.5,101.8,0.271,0.403,0.525,53.9,54.6,10.2,9.5,0.497,16.9,30.9,0.190,2022-2023
Stony Brook,33,11,22,0.333,-12.45,-4.13,,6,12,,7,7,,3,13,,2083,2279,,65.1,105.8,0.253,0.437,0.526,50.9,53.6,11.1,7.4,0.501,12.3,26.8,0.177,2022-2023
Syracuse,32,17,15,0.531,5.39,4.17,,10,10,,11,7,,5,6,,2372,2333,,68.3,105.9,0.217,0.483,0.533,51.0,72.7,9.5,6.6,0.512,15.8,33.6,0.152,2022-2023
Tarleton State,34,17,17,0.500,-0.76,1.71,,8,9,,12,2,,2,12,,2446,2308,,69.1,97.6,0.428,0.433,0.562,51.2,57.0,7.1,8.6,0.521,23.1,28.9,0.309,2022-2023
TCU NCAA,35,22,13,0.629,15.61,8.78,,9,9,,13,4,,3,7,,2634,2395,,70.9,96.2,0.301,0.350,0.514,49.3,55.1,8.9,10.3,0.481,18.8,30.5,0.212,2022-2023
Temple,32,16,16,0.500,4.68,5.30,,10,8,,9,7,,6,6,,2227,2247,,67.1,102.7,0.315,0.337,0.520,49.6,51.7,10.8,9.3,0.487,14.3,29.0,0.220,2022-2023
Tennessee NCAA,36,25,11,0.694,20.84,7.98,,11,7,,14,2,,4,6,,2547,2084,,65.9,87.6,0.338,0.418,0.474,45.4,50.4,9.9,8.3,0.428,19.4,26.9,0.243,2022-2023
Tennessee State,32,18,14,0.563,-9.01,-8.94,,10,8,,13,4,,4,8,,2499,2401,,72.8,103.0,0.400,0.366,0.547,49.7,48.7,8.7,9.0,0.502,16.6,26.8,0.298,2022-2023
Tennessee Tech,33,16,17,0.485,-9.40,-6.37,,11,7,,11,5,,4,11,,2432,2421,,69.3,103.1,0.256,0.391,0.533,51.6,56.8,9.7,9.4,0.502,16.1,29.5,0.190,2022-2023
Tennessee-Martin,33,19,14,0.576,-8.67,-7.91,,10,8,,14,2,,4,11,,2658,2489,,73.5,101.4,0.327,0.404,0.519,48.7,54.0,8.5,9.9,0.487,15.1,27.6,0.224,2022-2023
Texas NCAA,38,29,9,0.763,20.56,10.43,,12,6,,17,1,,4,6,,2963,2578,,70.1,95.8,0.337,0.348,0.521,50.2,46.5,8.2,8.0,0.481,19.4,29.0,0.247,2022-2023
Texas A&M NCAA,35,25,10,0.714,13.76,7.42,,15,3,,15,1,,7,4,,2549,2327,,67.1,99.0,0.347,0.457,0.519,46.6,59.0,10.7,11.1,0.482,17.9,30.4,0.245,2022-2023
Texas A&M-Corpus Christi NCAA,35,24,11,0.686,-2.57,-7.02,,14,4,,13,2,,8,7,,2803,2561,,71.7,101.3,0.359,0.431,0.548,47.4,57.7,8.9,8.4,0.520,18.5,27.8,0.244,2022-2023
Texas Southern NCAA,35,14,21,0.400,-10.56,-5.05,,7,11,,7,6,,3,13,,2422,2518,,70.9,99.4,0.374,0.357,0.527,48.6,47.1,10.7,7.8,0.487,16.8,27.3,0.267,2022-2023
Texas State,35,16,19,0.457,-2.32,-0.70,,6,12,,4,10,,7,7,,2309,2334,,64.9,102.8,0.404,0.332,0.544,48.5,46.6,9.6,8.1,0.505,16.6,27.5,0.288,2022-2023
Texas Tech,32,16,16,0.500,12.58,8.24,,5,13,,11,6,,3,7,,2347,2208,,68.9,99.4,0.284,0.428,0.520,48.3,54.5,10.3,10.2,0.489,17.3,30.1,0.202,2022-2023
Texas-Rio Grande Valley,32,15,17,0.469,-6.48,-0.55,,5,12,,12,6,,3,10,,2518,2502,,74.3,104.4,0.366,0.365,0.543,47.6,61.4,10.4,9.4,0.502,15.2,27.5,0.270,2022-2023
The Citadel,32,10,22,0.313,-12.13,-3.77,,5,13,,5,9,,4,11,,2158,2374,,68.2,108.8,0.336,0.418,0.550,53.9,51.4,10.5,10.1,0.516,14.3,30.6,0.243,2022-2023
Toledo,35,27,8,0.771,5.76,-2.57,,16,2,,13,1,,10,4,,2989,2691,,70.8,108.6,0.272,0.379,0.560,49.9,48.5,7.2,8.7,0.530,15.8,30.7,0.204,2022-2023
Towson,33,21,12,0.636,0.24,-4.79,,12,6,,10,2,,8,7,,2368,2202,,65.7,100.5,0.295,0.399,0.523,45.6,50.6,8.4,7.4,0.486,15.6,26.7,0.222,2022-2023
Troy,33,20,13,0.606,1.39,-1.25,,11,7,,11,3,,7,8,,2414,2204,,69.2,95.9,0.336,0.357,0.524,49.7,46.4,9.5,8.4,0.482,19.6,29.2,0.252,2022-2023
Tulane,31,20,11,0.645,5.46,2.69,,12,6,,12,3,,5,4,,2478,2392,,74.0,102.6,0.296,0.420,0.533,54.5,62.5,8.1,12.4,0.504,16.7,30.5,0.207,2022-2023
Tulsa,30,5,25,0.167,-8.48,3.66,,1,17,,4,10,,0,12,,1959,2323,,68.7,111.8,0.278,0.396,0.563,54.8,57.4,10.8,11.1,0.536,14.7,33.0,0.203,2022-2023
UAB,39,29,10,0.744,10.96,1.70,,14,6,,17,2,,7,5,,3149,2740,,70.6,96.8,0.281,0.378,0.505,46.4,48.8,9.2,8.6,0.471,16.9,29.1,0.205,2022-2023
UC Davis,32,18,14,0.563,-0.31,-1.74,,11,8,,10,4,,5,9,,2392,2274,,70.9,99.0,0.313,0.300,0.532,47.0,44.5,9.4,8.8,0.501,18.1,27.6,0.220,2022-2023
UC Irvine,35,23,12,0.657,4.16,-0.60,,15,5,,11,4,,9,7,,2617,2352,,70.0,95.6,0.359,0.356,0.500,47.8,50.7,8.4,7.9,0.454,15.9,26.0,0.262,2022-2023
UC Riverside,34,22,12,0.647,0.72,-0.34,,14,6,,9,4,,9,7,,2463,2352,,67.4,101.1,0.369,0.291,0.542,46.3,45.9,8.7,8.2,0.504,15.8,22.5,0.265,2022-2023
UC San Diego,30,10,20,0.333,-6.94,-0.76,,5,13,,4,10,,6,9,,2057,2189,,67.0,106.3,0.272,0.358,0.542,52.4,55.8,8.7,9.3,0.513,14.6,28.5,0.198,2022-2023
UC Santa Barbara NCAA,35,27,8,0.771,3.30,-2.03,,15,5,,12,3,,10,4,,2510,2305,,65.5,100.2,0.287,0.315,0.533,48.7,48.3,7.5,6.0,0.498,16.6,25.8,0.215,2022-2023
UCF,34,19,15,0.559,11.09,5.09,,8,10,,11,6,,5,7,,2432,2228,,66.1,96.6,0.334,0.388,0.518,48.7,53.4,9.9,8.5,0.480,19.0,30.7,0.242,2022-2023
UCLA NCAA,37,31,6,0.838,22.11,8.66,,18,2,,17,0,,9,2,,2743,2245,,67.2,90.3,0.275,0.388,0.498,47.8,51.1,6.9,6.2,0.468,20.5,28.2,0.191,2022-2023
UNC Asheville NCAA,35,27,8,0.771,-1.74,-4.35,,16,2,,13,0,,10,6,,2604,2418,,69.3,98.2,0.261,0.344,0.506,49.5,46.4,10.0,10.7,0.475,15.7,28.5,0.188,2022-2023
UNC Greensboro,32,20,12,0.625,1.66,-2.91,,14,4,,11,3,,8,6,,2306,2064,,67.2,95.2,0.304,0.411,0.501,47.4,47.1,8.6,6.6,0.470,17.1,26.3,0.207,2022-2023
UNC Wilmington,34,24,10,0.706,-1.17,-3.05,,12,6,,11,3,,8,6,,2343,2187,,65.4,97.2,0.365,0.367,0.523,49.5,39.8,8.6,7.9,0.485,18.4,28.0,0.256,2022-2023
UT Arlington,32,11,21,0.344,-4.98,2.12,,6,12,,6,8,,4,9,,2125,2190,,67.6,100.9,0.372,0.380,0.542,48.5,54.1,8.9,8.4,0.506,18.4,29.2,0.262,2022-2023
Utah,32,17,15,0.531,11.34,6.53,,10,10,,12,5,,4,7,,2197,2043,,66.5,95.7,0.244,0.351,0.476,47.2,53.5,9.3,10.5,0.450,13.1,27.3,0.162,2022-2023
Utah State NCAA,35,26,9,0.743,14.23,6.81,,13,5,,14,2,,6,4,,2736,2446,,69.2,100.7,0.304,0.338,0.520,47.0,47.5,8.1,7.8,0.482,14.2,24.3,0.226,2022-2023
Utah Tech,33,14,19,0.424,-0.16,1.01,,5,13,,9,5,,3,13,,2495,2420,,70.8,102.7,0.347,0.373,0.561,48.5,53.0,9.8,9.8,0.526,18.5,26.3,0.254,2022-2023
Utah Valley,37,28,9,0.757,8.48,1.83,,15,3,,14,1,,12,5,,2863,2538,,72.2,93.8,0.281,0.322,0.470,47.6,45.0,9.2,7.5,0.439,14.5,28.6,0.188,2022-2023
UTEP,32,14,18,0.438,-0.74,1.82,,7,13,,11,7,,3,10,,2192,2192,,68.3,97.7,0.361,0.374,0.545,48.3,44.3,11.2,9.0,0.509,21.0,28.7,0.258,2022-2023
UTSA,32,10,22,0.313,-7.74,1.16,,4,16,,8,10,,2,11,,2217,2450,,69.5,109.3,0.310,0.374,0.544,51.1,50.8,9.9,13.7,0.515,13.6,31.2,0.219,2022-2023
Valparaiso,32,11,21,0.344,-8.72,-2.75,,5,15,,8,7,,2,12,,2206,2355,,68.7,104.7,0.311,0.374,0.545,50.7,52.7,10.0,6.9,0.511,14.1,24.6,0.228,2022-2023
Vanderbilt,37,22,15,0.595,8.98,8.55,,11,7,,14,6,,5,6,,2661,2645,,67.0,105.9,0.312,0.360,0.519,50.5,49.3,8.4,7.7,0.486,13.0,31.9,0.220,2022-2023
Vermont NCAA,34,23,11,0.676,1.63,-3.13,,14,2,,13,1,,9,6,,2471,2276,,65.5,101.0,0.266,0.368,0.541,50.9,45.5,7.6,8.3,0.513,15.6,22.2,0.193,2022-2023
Villanova,34,17,17,0.500,10.61,8.69,,10,10,,10,4,,5,9,,2366,2301,,65.0,103.8,0.277,0.417,0.543,51.0,60.1,8.5,10.7,0.507,15.4,25.2,0.215,2022-2023
Virginia NCAA,33,25,8,0.758,13.28,5.98,,15,5,,15,1,,6,5,,2237,1996,,62.5,96.5,0.263,0.400,0.517,49.8,52.9,7.7,10.8,0.483,17.3,24.9,0.197,2022-2023
Virginia Commonwealth NCAA,35,27,8,0.771,9.89,1.95,,15,3,,15,3,,8,3,,2480,2202,,68.3,92.2,0.311,0.341,0.504,49.9,51.3,9.6,9.9,0.469,20.8,30.0,0.219,2022-2023
VMI,32,7,25,0.219,-16.14,-3.45,,2,16,,6,8,,1,14,,2220,2457,,67.5,112.8,0.269,0.497,0.579,48.9,60.2,9.2,12.7,0.558,13.8,26.7,0.189,2022-2023
Virginia Tech,34,19,15,0.559,9.36,5.30,,8,12,,13,4,,2,10,,2521,2383,,66.8,104.5,0.252,0.356,0.532,50.4,47.5,8.4,9.9,0.507,14.2,27.7,0.179,2022-2023
Wagner,28,15,13,0.536,-11.81,-10.85,,8,8,,8,4,,7,9,,1766,1727,,63.5,96.3,0.465,0.362,0.534,46.3,53.7,9.3,10.2,0.486,18.9,23.8,0.332,2022-2023
Wake Forest,33,19,14,0.576,8.25,5.43,,10,10,,13,3,,4,8,,2528,2435,,70.1,104.5,0.267,0.386,0.543,50.3,46.3,9.9,11.9,0.516,15.2,26.6,0.192,2022-2023
Washington,32,16,16,0.500,6.78,7.94,,8,12,,12,6,,2,9,,2213,2250,,69.2,100.1,0.254,0.370,0.501,52.9,60.1,9.9,9.9,0.471,15.5,34.6,0.180,2022-2023
Washington State,34,17,17,0.500,10.53,7.91,,11,9,,10,4,,5,8,,2324,2235,,64.8,101.1,0.284,0.322,0.525,47.9,48.2,9.0,8.6,0.498,14.7,26.1,0.197,2022-2023
Weber State,33,18,15,0.545,-2.94,-1.33,,12,6,,8,4,,8,8,,2219,2229,,65.7,100.9,0.309,0.414,0.552,50.3,58.3,8.4,9.2,0.525,17.5,22.6,0.216,2022-2023
West Virginia NCAA,34,19,15,0.559,15.95,10.89,,7,11,,13,4,,3,8,,2583,2411,,69.6,101.5,0.387,0.351,0.548,48.0,50.4,9.6,6.6,0.509,18.4,29.3,0.281,2022-2023
Western Carolina,34,18,16,0.529,-6.34,-4.08,,10,8,,9,5,,6,9,,2513,2405,,68.3,101.6,0.326,0.304,0.524,48.6,43.2,8.2,10.2,0.488,13.8,24.3,0.235,2022-2023
Western Illinois,30,16,14,0.533,-7.59,-4.73,,9,9,,11,4,,5,9,,2191,2171,,68.8,104.8,0.263,0.331,0.542,50.1,38.7,7.3,7.8,0.515,15.0,26.6,0.188,2022-2023
Western Kentucky,33,17,16,0.515,-0.81,1.09,,8,12,,9,5,,5,9,,2355,2330,,68.4,102.4,0.245,0.424,0.520,51.7,51.4,8.8,6.3,0.495,15.6,30.8,0.171,2022-2023
Western Michigan,31,8,23,0.258,-10.55,-2.34,,4,14,,7,7,,1,15,,2166,2295,,66.7,111.0,0.314,0.401,0.563,46.6,54.3,9.4,8.4,0.535,13.0,26.3,0.224,2022-2023
Wichita State,32,17,15,0.531,5.78,3.25,,9,9,,8,8,,7,4,,2272,2191,,67.8,99.5,0.259,0.408,0.505,48.5,56.9,10.1,9.3,0.475,14.7,28.2,0.185,2022-2023
William & Mary,33,13,20,0.394,-10.99,-4.18,,7,11,,11,5,,1,14,,2219,2320,,65.3,107.2,0.272,0.365,0.552,50.4,48.8,9.4,14.4,0.528,15.1,28.8,0.191,2022-2023
Winthrop,32,15,17,0.469,-6.63,-3.59,,10,8,,10,4,,4,11,,2360,2382,,67.8,109.4,0.293,0.381,0.553,52.3,50.7,11.0,13.5,0.537,15.3,33.4,0.187,2022-2023
Wisconsin,35,20,15,0.571,10.98,9.29,,9,11,,11,6,,6,6,,2284,2225,,63.2,98.5,0.275,0.367,0.526,52.5,43.1,7.0,10.4,0.502,16.3,24.9,0.185,2022-2023
Wofford,33,17,16,0.515,-5.02,-3.32,,8,10,,12,4,,4,11,,2466,2392,,66.4,107.5,0.256,0.420,0.559,48.5,45.7,8.5,8.6,0.533,14.7,27.0,0.188,2022-2023
Wright State,33,18,15,0.545,-2.34,-5.89,,10,10,,9,6,,7,8,,2637,2432,,72.0,100.1,0.269,0.387,0.523,48.4,41.6,10.8,6.1,0.499,15.7,26.7,0.182,2022-2023
Wyoming,31,9,22,0.290,2.02,6.12,,4,14,,7,8,,1,8,,2144,2234,,66.4,108.1,0.289,0.395,0.567,50.7,48.9,9.2,10.5,0.531,14.9,25.1,0.227,2022-2023
Xavier NCAA,37,27,10,0.730,16.03,9.16,,15,5,,15,2,,7,4,,2995,2741,,72.0,102.6,0.270,0.335,0.532,46.1,53.6,9.7,9.2,0.503,14.4,25.0,0.194,2022-2023
Yale,30,21,9,0.700,7.81,-1.62,,10,4,,10,1,,8,8,,2273,1897,,67.5,92.9,0.327,0.408,0.498,45.8,50.4,8.5,7.3,0.461,16.5,23.1,0.227,2022-2023
Youngstown State,34,24,10,0.706,1.67,-5.83,,15,5,,14,3,,9,6,,2785,2465,,69.5,102.5,0.254,0.338,0.533,48.3,49.1,7.3,6.2,0.508,15.9,28.9,0.179,2022-2023
