School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
Dayton NCAA,33,25,8,0.758,13.45,5.73,,14,4,,15,0,,6,5,,2448,2193,,64.8,102.2,0.219,0.401,0.510,49.4,51.1,9.1,10.3,0.483,13.7,28.6,0.160,2023-2024
Delaware,33,19,14,0.576,-1.68,-4.30,,10,8,,8,5,,8,6,,2416,2299,,67.7,102.5,0.269,0.363,0.512,49.1,46.0,9.4,10.1,0.482,12.9,27.9,0.190,2023-2024
Delaware State,34,15,19,0.441,-10.51,-7.58,,6,8,,7,5,,4,11,,2401,2415,,70.2,99.3,0.346,0.399,0.542,48.4,52.9,10.2,6.5,0.507,19.2,30.1,0.249,2023-2024
Denver,34,17,17,0.500,-7.39,-4.82,,6,10,,10,4,,4,11,,2755,2737,,71.1,111.2,0.308,0.351,0.560,50.8,44.2,6.9,10.5,0.528,12.9,28.7,0.228,2023-2024
DePaul,32,3,29,0.094,-6.23,10.80,,0,20,,3,15,,0,11,,2071,2616,,68.4,119.6,0.284,0.411,0.592,55.1,58.2,11.2,10.2,0.565,12.6,32.3,0.212,2023-2024
Detroit Mercy,32,1,31,0.031,-16.90,-2.62,,1,19,,1,11,,0,20,,2111,2568,,68.0,117.0,0.319,0.372,0.594,55.4,52.3,9.0,8.6,0.559,14.9,35.4,0.249,2023-2024
Drake NCAA,35,28,7,0.800,11.08,1.84,,16,4,,16,0,,6,5,,2797,2463,,68.4,100.3,0.309,0.388,0.537,48.8,41.8,7.8,7.4,0.507,15.8,22.9,0.218,2023-2024
Drexel,32,20,12,0.625,1.14,-3.64,,13,5,,13,1,,6,10,,2346,2130,,65.7,100.2,0.267,0.353,0.504,44.4,43.9,8.2,7.8,0.474,12.0,24.1,0.188,2023-2024
Duke NCAA,36,27,9,0.750,20.67,8.36,,15,5,,15,3,,7,4,,2830,2387,,67.1,98.8,0.281,0.347,0.512,46.3,50.9,7.9,12.0,0.485,14.9,25.9,0.191,2023-2024
Duquesne NCAA,37,25,12,0.676,7.35,4.68,,10,8,,13,4,,5,6,,2611,2467,,66.9,99.7,0.346,0.377,0.520,49.6,53.2,9.5,10.9,0.483,17.0,29.9,0.245,2023-2024
East Carolina,33,15,18,0.455,-0.62,1.32,,7,11,,11,9,,3,7,,2287,2319,,65.8,106.0,0.320,0.429,0.549,49.7,53.2,9.2,9.4,0.512,16.4,30.8,0.240,2023-2024
